age,education-num,marital-status,occupation,sex,capital-gain,native-country
37,9,0,6,1,0,38
58,4,2,13,1,0,38
46,7,0,9,1,0,38
32,9,4,13,0,0,38
56,7,0,11,0,0,38
55,13,2,3,1,0,38
42,9,2,9,1,0,38
24,6,2,6,0,0,38
31,2,2,4,1,0,25
32,9,4,7,1,0,38
42,13,2,11,1,0,38
34,9,4,7,0,0,38
24,10,0,7,1,0,38
38,9,4,7,1,0,38
47,13,2,2,1,0,38
52,9,2,2,1,0,38
33,9,2,11,1,0,38
39,9,2,2,1,0,38
42,10,2,12,1,7688,38
35,13,2,11,1,0,38
47,9,2,11,1,0,38
53,8,0,4,1,0,38
65,9,6,11,0,0,38
34,9,0,13,1,0,38
39,9,5,6,1,2176,38
42,9,2,2,1,0,38
54,9,2,13,1,5013,38
24,9,2,13,0,0,38
35,15,4,9,1,0,18
49,10,0,10,0,4934,38
47,4,2,5,1,0,31
38,9,2,5,1,0,38
51,9,2,6,1,0,38
31,12,2,7,0,0,38
40,10,4,0,0,0,38
47,14,4,9,0,0,38
44,9,2,0,0,0,38
48,10,0,4,1,0,38
49,7,0,6,0,0,38
33,13,2,11,1,0,38
53,13,4,7,1,8614,21
45,13,2,9,1,0,38
42,9,4,0,0,0,38
28,5,4,6,1,0,5
43,10,2,7,1,0,38
43,10,2,2,1,0,38
61,10,2,11,0,0,38
34,9,2,6,1,0,38
36,13,2,9,1,0,38
36,10,2,3,0,7298,38
60,13,2,11,1,0,38
33,9,4,11,1,0,38
37,11,2,2,1,0,38
51,9,4,3,1,10520,38
37,9,0,0,0,0,38
24,12,4,2,1,0,38
44,9,3,0,0,0,38
29,9,2,2,1,0,38
55,9,0,3,1,14344,38
31,9,2,13,1,0,38
30,7,2,7,1,0,25
48,10,2,2,1,0,38
27,9,4,3,0,0,38
47,13,3,11,1,0,38
42,10,2,13,0,14344,38
39,10,3,0,0,0,38
46,13,2,3,1,0,38
37,9,4,11,1,0,38
28,13,4,2,0,0,38
23,11,4,12,1,0,38
48,12,2,13,1,0,38
62,6,2,6,1,0,38
28,10,4,7,1,0,38
44,10,2,5,1,0,38
42,13,2,9,1,0,38
73,11,2,11,1,0,38
44,11,2,2,1,0,38
60,13,2,2,1,5178,38
39,14,4,11,1,0,38
52,9,0,6,0,0,38
34,10,4,2,1,0,38
40,9,2,7,1,0,38
48,10,0,2,1,0,38
41,13,2,12,1,0,38
31,10,2,11,1,0,38
32,13,2,9,1,99999,38
41,14,0,5,1,0,28
61,10,2,11,1,0,38
33,13,2,9,1,0,38
35,13,4,7,1,0,38
56,9,0,7,1,0,38
35,14,2,11,1,0,38
26,14,4,9,1,0,38
52,10,2,3,1,0,38
51,11,2,11,1,0,38
43,10,0,0,0,0,38
39,9,2,0,1,0,38
46,13,2,9,1,15024,38
44,14,2,9,1,0,38
53,10,6,3,0,0,38
39,11,2,10,1,0,38
42,13,2,0,1,0,38
19,9,4,6,1,0,38
42,9,2,10,1,5178,38
27,9,2,10,1,3103,38
37,9,4,5,0,3887,26
39,9,2,0,0,0,38
28,6,4,5,1,0,38
25,13,4,3,1,0,38
41,14,2,9,1,0,38
47,14,2,9,1,0,38
50,10,0,9,0,0,38
46,13,2,11,1,0,38
34,9,2,11,1,0,38
61,9,2,2,1,0,38
38,10,2,2,1,5178,38
35,13,2,2,1,0,38
51,10,2,9,0,0,38
33,9,2,3,1,0,38
45,10,2,7,1,3103,38
34,9,2,2,1,0,38
26,10,4,13,1,0,38
33,12,2,2,1,0,38
41,9,2,7,1,0,38
33,9,0,0,0,0,38
29,11,2,2,1,0,38
67,9,2,13,1,0,38
21,9,2,6,1,0,38
37,9,2,10,1,0,38
34,11,0,2,1,0,38
25,9,4,11,1,0,38
54,13,2,2,1,0,38
27,10,2,12,1,0,38
46,10,2,13,1,0,38
56,9,2,2,1,2885,38
23,3,4,13,1,0,38
37,12,2,3,1,0,9
50,9,0,9,0,0,38
17,7,4,0,0,0,38
32,4,3,0,1,0,38
51,9,2,7,1,7298,7
26,13,4,0,0,0,38
45,10,6,7,0,0,38
20,10,4,4,1,0,38
17,7,4,4,1,0,38
34,10,2,0,1,0,38
50,12,0,11,0,0,38
29,13,2,9,0,0,38
56,9,4,0,0,0,38
30,13,4,7,1,14084,38
38,9,2,10,1,0,33
37,10,2,2,1,0,38
21,11,4,0,0,0,38
66,13,2,9,1,20051,38
45,10,2,3,1,3137,38
46,9,2,7,1,0,38
53,14,2,0,1,0,38
55,11,2,11,1,15024,38
43,13,2,11,1,0,38
50,14,2,10,1,7688,38
45,9,2,2,1,0,8
36,10,2,11,1,7688,38
47,9,2,2,1,0,38
30,9,2,0,1,0,38
30,13,2,9,1,99999,38
65,9,2,3,1,0,38
43,9,2,4,1,7298,38
64,10,3,3,0,0,38
37,4,2,7,1,7298,25
29,15,4,9,1,0,21
39,15,2,9,0,15024,38
24,9,4,3,0,0,38
30,13,2,3,1,0,38
30,13,4,11,1,0,38
33,13,4,0,1,0,38
37,10,2,2,1,0,38
37,14,0,3,0,0,38
21,9,4,2,1,0,38
55,13,2,3,1,15024,38
28,9,2,2,1,0,17
34,13,2,3,1,0,38
52,9,2,3,1,0,38
57,9,0,2,1,14344,38
68,10,2,4,1,9386,38
57,8,2,0,1,6418,38
29,9,2,13,1,0,38
51,14,2,9,0,99999,38
51,9,2,2,1,7298,38
43,13,2,3,1,15024,38
38,13,2,11,1,0,30
31,11,4,10,1,0,38
26,12,4,7,1,0,38
52,13,2,3,1,0,38
28,8,2,3,1,7688,38
26,13,4,4,1,0,38
34,15,2,9,1,0,38
48,9,4,0,0,0,38
26,9,4,13,1,0,38
33,3,5,7,0,0,25
36,10,2,2,1,0,38
38,11,0,9,0,14344,38
21,10,4,0,1,0,38
21,10,4,11,0,0,38
31,13,0,10,1,0,38
20,10,4,0,0,0,38
21,10,4,0,0,0,38
41,9,2,3,1,0,38
58,15,4,3,0,0,38
28,13,4,9,0,0,38
40,9,4,7,0,0,38
30,9,2,0,0,7298,38
24,9,2,5,1,0,38
31,9,4,5,1,0,38
23,9,4,0,0,0,38
52,13,2,1,1,7298,38
73,15,2,0,1,0,38
46,10,2,11,1,0,38
32,9,2,1,0,7298,38
58,13,2,3,1,0,38
39,13,0,0,1,0,38
20,10,4,11,0,0,38
28,10,2,5,1,0,38
43,13,4,9,0,0,38
56,10,2,2,1,0,38
53,14,2,9,1,3103,38
32,13,2,3,1,15024,38
32,10,2,3,1,0,38
25,13,4,0,0,0,38
40,10,0,2,1,0,38
54,10,0,0,0,0,38
39,9,2,2,1,0,38
35,9,2,3,0,0,38
34,14,2,3,1,0,38
39,13,2,3,1,0,38
35,13,4,3,1,0,38
34,13,4,3,1,1471,0
55,4,2,2,1,0,38
27,13,2,2,1,0,38
30,13,4,9,0,0,10
27,9,4,10,1,2174,38
50,14,2,3,1,99999,38
47,4,2,11,1,0,32
30,13,4,0,0,0,35
33,10,4,0,1,0,38
48,9,2,2,1,0,38
29,13,4,9,1,0,38
23,13,4,3,1,0,38
43,10,3,11,1,0,25
38,11,2,2,1,0,38
26,8,4,2,1,0,12
54,13,0,3,1,0,38
64,9,2,0,0,20051,38
61,13,0,0,0,0,38
41,10,2,12,1,3137,38
51,9,2,6,1,0,38
54,11,2,2,1,0,14
43,13,2,7,0,0,38
63,10,2,9,1,0,38
33,15,4,9,1,0,38
42,3,3,2,1,0,32
24,10,4,5,1,0,38
27,13,4,12,1,0,38
29,9,2,0,1,0,38
58,9,2,3,1,0,38
43,13,2,11,1,0,38
40,10,2,4,1,0,38
21,5,4,13,1,0,38
21,10,4,7,0,0,38
30,9,2,13,1,5013,38
45,11,2,2,1,0,23
49,13,2,11,1,0,38
31,14,2,11,1,0,38
31,13,2,3,1,0,38
56,9,0,12,0,0,38
31,9,4,7,1,0,38
28,10,4,5,1,0,38
43,15,4,9,0,14084,38
41,9,2,2,1,0,38
51,10,2,11,1,0,38
33,9,4,0,0,0,38
53,9,2,2,1,0,38
48,10,2,12,1,0,38
43,9,2,5,1,0,38
39,10,2,10,1,7298,38
55,10,0,10,1,0,38
30,9,4,11,0,0,38
42,9,2,10,1,0,38
33,9,5,0,0,0,38
35,10,4,2,1,0,38
58,13,2,3,1,0,38
32,14,2,9,1,7688,38
23,10,5,2,1,0,38
61,10,0,11,0,0,38
40,10,2,7,0,0,38
34,9,2,13,1,0,38
43,10,0,6,1,0,38
48,13,2,2,1,0,22
20,10,4,13,1,0,38
28,11,0,9,0,0,38
26,12,4,7,1,0,38
50,9,1,2,0,99999,38
45,13,2,0,1,0,29
62,13,2,9,1,0,38
69,9,2,11,1,0,38
39,10,0,11,0,0,38
38,11,4,2,1,0,38
31,13,2,3,1,0,38
18,9,4,7,1,0,38
33,9,2,12,0,0,38
20,4,4,6,1,0,38
27,7,5,2,1,0,10
27,10,5,11,0,0,38
52,9,2,10,1,0,38
35,13,2,9,1,7298,38
25,10,4,0,1,0,38
49,13,2,8,1,7298,38
45,14,2,3,1,0,38
58,14,2,3,1,0,38
36,9,0,11,0,0,38
51,14,2,9,1,0,38
30,12,2,3,1,0,38
34,13,0,3,1,0,38
52,14,3,0,0,0,38
43,10,2,3,1,0,38
39,10,2,6,1,0,38
60,4,2,13,1,0,38
39,10,2,2,1,0,38
38,10,0,2,1,0,38
56,2,2,2,1,0,38
49,10,2,9,1,0,38
24,10,4,0,0,0,38
35,13,2,3,1,0,38
59,9,2,3,0,7688,38
44,10,0,3,0,0,38
59,4,2,10,1,0,32
34,13,2,11,0,0,38
66,13,2,11,1,0,38
65,9,2,3,1,0,38
40,13,2,9,1,0,38
36,13,2,11,1,0,38
39,15,0,3,1,0,38
32,9,4,6,1,0,38
36,6,2,6,0,3464,38
57,11,4,12,1,0,38
40,12,4,0,0,0,38
42,7,2,13,1,0,38
24,12,4,11,0,0,38
30,11,2,12,0,0,38
34,13,4,3,0,0,38
32,10,2,11,1,0,38
68,13,2,3,1,0,38
28,13,4,9,1,0,38
29,11,2,2,1,0,38
59,9,0,12,0,0,38
53,9,2,0,1,0,38
33,13,2,3,1,0,38
41,9,3,13,1,0,38
34,9,2,2,1,0,38
43,13,2,3,1,15024,38
42,14,2,3,1,0,38
48,9,0,3,0,0,38
43,13,2,3,1,15024,38
34,9,2,9,1,0,20
63,13,2,0,1,0,38
40,15,2,9,0,0,35
54,6,5,13,1,0,38
39,9,2,3,1,0,38
36,10,0,7,0,0,25
41,14,2,9,0,0,8
48,14,2,9,1,0,38
55,9,2,13,1,0,38
59,6,2,2,1,0,38
40,10,2,11,1,4386,38
30,9,4,12,0,0,38
30,13,4,9,0,0,38
53,9,2,2,1,0,38
27,10,4,0,0,0,38
28,13,2,2,1,0,38
57,10,2,9,1,0,38
27,10,0,6,0,0,38
25,13,4,3,1,4101,38
33,10,2,3,1,0,38
46,5,2,6,1,0,12
59,13,2,3,1,0,38
34,10,2,7,1,0,38
40,9,4,7,0,0,38
55,13,5,3,1,14084,38
44,10,0,13,1,1831,38
26,10,2,2,1,0,32
26,9,4,7,1,0,38
47,4,2,2,1,0,38
25,10,2,11,1,0,38
56,10,2,11,1,0,38
36,13,2,9,1,0,38
35,13,2,11,1,0,38
41,7,6,0,0,0,38
22,13,2,6,1,0,38
56,9,2,5,1,0,38
28,9,4,0,1,0,38
38,14,2,9,1,0,38
50,9,2,2,1,0,38
59,9,2,5,1,0,38
29,11,2,9,1,14084,38
25,10,4,13,1,0,38
31,11,2,10,1,0,38
52,13,2,3,1,0,38
30,12,4,2,1,4787,38
54,9,2,2,1,5178,38
53,13,2,0,1,0,38
41,13,2,0,1,0,38
49,9,2,0,0,0,38
26,13,2,3,0,0,38
38,13,4,9,1,0,38
29,8,4,3,1,0,8
60,13,2,3,1,0,38
41,12,0,0,0,0,38
47,14,2,3,1,0,38
24,10,4,10,1,0,38
36,10,2,0,1,0,38
55,9,2,2,1,0,38
41,13,2,9,1,0,38
40,9,2,3,1,0,38
40,12,2,12,1,0,38
44,3,2,1,1,0,38
63,9,2,2,1,0,38
22,9,0,13,1,0,38
35,10,2,9,1,0,38
45,7,2,7,0,0,38
40,15,2,0,0,0,29
40,12,0,11,0,4687,38
29,9,4,5,0,0,38
38,9,2,11,1,0,38
28,9,3,7,0,0,29
39,9,0,7,0,0,38
46,13,2,3,1,0,38
29,14,4,9,0,0,38
20,9,4,4,1,0,38
19,9,4,2,0,0,38
69,15,2,9,1,99999,38
42,9,3,3,0,0,38
35,5,4,2,1,0,38
37,13,2,3,1,0,38
51,9,2,6,1,0,38
49,13,2,11,1,0,38
29,10,2,0,1,0,38
30,12,4,7,1,0,39
32,10,2,11,0,0,11
29,10,4,7,0,0,38
19,9,4,2,1,0,38
42,14,4,9,0,0,38
34,13,2,9,1,0,38
54,5,5,2,1,0,38
48,14,3,11,1,0,18
38,4,2,2,1,0,25
49,13,1,3,0,10520,38
37,9,2,11,1,0,38
26,3,2,5,1,0,25
31,10,2,2,1,0,38
24,13,4,3,1,0,38
60,12,2,0,1,0,38
35,9,2,2,1,0,38
36,14,2,3,1,0,35
47,16,2,9,1,0,38
49,9,2,0,1,0,38
58,9,2,7,1,0,38
37,10,0,0,0,0,38
60,7,6,13,1,0,38
35,13,2,3,1,0,38
40,9,0,2,1,0,38
46,12,0,0,0,0,38
42,14,0,9,0,0,38
34,12,4,0,0,14344,38
60,10,2,2,1,0,3
36,9,0,0,0,0,38
55,10,2,2,1,0,38
46,14,2,9,1,0,38
60,11,0,9,0,0,38
63,10,6,0,0,0,38
37,10,2,13,1,0,38
47,10,0,0,0,0,38
50,9,2,13,1,0,38
28,10,4,11,0,0,38
54,4,2,3,1,0,38
61,4,0,7,0,0,38
28,13,2,3,1,5178,38
35,13,2,3,1,0,38
43,13,2,6,1,0,38
27,7,2,2,1,0,38
25,10,4,2,0,0,38
48,9,2,6,1,0,38
49,8,2,2,1,0,38
54,4,0,6,0,0,38
41,13,2,9,1,0,38
39,9,2,2,1,0,38
30,7,3,5,0,0,38
54,9,2,4,1,0,38
60,9,2,7,1,0,38
53,10,6,3,1,0,38
33,12,0,9,1,0,38
24,9,4,7,1,0,38
61,4,2,2,1,7688,30
31,12,2,12,1,0,38
32,9,2,3,0,0,1
28,9,2,13,1,0,38
51,9,2,4,1,4386,38
35,11,0,13,1,0,38
39,9,2,2,1,5178,38
