ID,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,emp_length,home_ownership,annual_inc,verification_status,loan_status,pymnt_plan,purpose,addr_state,dti,delinq_2yrs,fico_range_low,fico_range_high,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,policy_code,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,hardship_flag,disbursement_method,debt_settlement_flag,issue_d_month,issue_d_year,earliest_cr_line_month,earliest_cr_line_year,last_pymnt_d_month,last_pymnt_d_year,last_credit_pull_d_month,last_credit_pull_d_year,grade
24341,12500.0,12500.0,12500.0, 36 months,7.21,387.17,< 1 year,MORTGAGE,81000.0,Not Verified,Current,n,debt_consolidation,IL,25.33,0.0,715.0,719.0,1.0,29.0,0.0,18833.0,16.6,61.0,w,9950.34,9950.34,3092.35,3092.35,2549.66,542.69,0.0,0.0,0.0,387.17,724.0,720.0,0.0,1.0,Individual,0.0,0.0,518741.0,116200.0,12.0,17888.0,89567.0,17.4,0.0,0.0,191.0,216.0,3.0,3.0,1.0,3.0,3.0,1.0,11.0,11.0,12.0,21.0,32.0,15.0,28.0,11.0,29.0,0.0,0.0,0.0,3.0,95.8,0.0,0.0,0.0,585675.0,379822.0,108400.0,325925.0,N,Cash,N,6,2018,6,2000,2,2019,2,2019,A
67534,33850.0,33850.0,33775.0, 60 months,20.99,915.57,1 year,MORTGAGE,80000.0,Source Verified,Current,n,debt_consolidation,OK,36.72,0.0,670.0,674.0,1.0,22.0,0.0,33158.0,61.3,59.0,f,15342.65,15308.66,36524.12,36443.2,18507.35,18016.77,0.0,0.0,0.0,915.57,634.0,630.0,0.0,1.0,Individual,0.0,0.0,252600.0,54100.0,4.0,12630.0,4870.0,73.8,0.0,0.0,172.0,373.0,4.0,4.0,5.0,31.0,4.0,0.0,4.0,12.0,5.0,7.0,28.0,18.0,26.0,12.0,22.0,0.0,0.0,0.0,2.0,98.3,40.0,0.0,0.0,296367.0,105854.0,18600.0,84967.0,N,Cash,N,10,2015,9,1984,2,2019,2,2019,E
35080,10000.0,10000.0,10000.0, 60 months,20.0,264.94,< 1 year,RENT,36580.0,Not Verified,Fully Paid,n,debt_consolidation,AZ,6.43,0.0,665.0,669.0,1.0,5.0,0.0,5638.0,52.2,10.0,w,0.0,0.0,10570.0066073341,10570.01,10000.0,570.01,0.0,0.0,0.0,10056.79,674.0,670.0,0.0,1.0,Individual,0.0,0.0,7084.0,10800.0,6.0,1417.0,5162.0,52.2,0.0,0.0,131.0,115.0,2.0,2.0,0.0,2.0,0.0,0.0,3.0,3.0,4.0,5.0,3.0,4.0,7.0,3.0,5.0,0.0,0.0,0.0,3.0,90.0,25.0,0.0,0.0,12246.0,7084.0,10800.0,1446.0,N,Cash,N,9,2017,10,2006,1,2018,11,2018,D
4828,20250.0,20250.0,20250.0, 36 months,14.31,695.15,9 years,RENT,48700.0,Source Verified,Charged Off,n,debt_consolidation,CA,24.08,0.0,665.0,669.0,1.0,22.0,1.0,20025.0,59.8,33.0,f,0.0,0.0,13659.76,13659.76,9048.85,3447.75,0.0,1163.16,209.3688,695.15,599.0,595.0,0.0,1.0,Individual,0.0,0.0,24575.0,33500.0,9.0,1170.0,3653.0,79.1,0.0,0.0,23.0,221.0,1.0,1.0,0.0,5.0,5.0,0.0,10.0,17.0,11.0,17.0,1.0,21.0,32.0,17.0,22.0,0.0,0.0,0.0,3.0,100.0,90.9,1.0,0.0,42950.0,24575.0,17500.0,9450.0,N,Cash,N,0,2015,6,1996,6,2016,9,2017,C
59259,25000.0,25000.0,25000.0, 36 months,14.99,866.52,1 year,MORTGAGE,85000.0,Source Verified,Current,n,debt_consolidation,FL,22.79,0.0,675.0,679.0,0.0,12.0,0.0,34595.0,76.9,20.0,w,7332.72,7332.72,23343.99,23343.99,17667.28,5676.71,0.0,0.0,0.0,866.52,679.0,675.0,0.0,1.0,Individual,0.0,0.0,376595.0,45000.0,4.0,31383.0,1186.0,95.8,0.0,0.0,86.0,133.0,8.0,8.0,1.0,14.0,8.0,1.0,6.0,9.0,6.0,7.0,4.0,10.0,13.0,9.0,12.0,0.0,0.0,0.0,1.0,95.0,100.0,0.0,0.0,402901.0,37279.0,28300.0,10737.0,N,Cash,N,11,2016,0,2002,2,2019,2,2019,C
14166,15000.0,15000.0,15000.0, 36 months,16.29,529.51,1 year,MORTGAGE,24000.0,Verified,Charged Off,n,debt_consolidation,AZ,44.4,1.0,660.0,664.0,0.0,19.0,0.0,8350.0,70.8,38.0,f,0.0,0.0,10151.61,10151.61,5778.58,2741.55,26.48,1605.0,288.9,50.0,594.0,590.0,0.0,1.0,Joint App,0.0,0.0,187275.0,11800.0,6.0,9857.0,8.0,98.4,0.0,0.0,101.0,112.0,23.0,9.0,1.0,23.0,11.0,2.0,1.0,7.0,1.0,6.0,20.0,8.0,17.0,7.0,19.0,0.0,0.0,0.0,2.0,86.8,100.0,0.0,0.0,203954.0,65752.0,500.0,61749.0,N,Cash,Y,4,2016,11,2006,2,2018,2,2019,D
81867,8900.0,8900.0,8900.0, 36 months,7.89,278.45,1 year,MORTGAGE,49995.0,Not Verified,Fully Paid,n,car,TX,6.46,0.0,750.0,754.0,0.0,13.0,0.0,165.0,3.2,13.0,w,0.0,0.0,10019.986018574,10019.99,8900.0,1119.99,0.0,0.0,0.0,278.14,714.0,710.0,0.0,1.0,Individual,0.0,0.0,36900.0,5200.0,1.0,2838.0,5035.0,3.2,0.0,0.0,67.0,38.0,7.0,7.0,0.0,7.0,7.0,0.0,1.0,1.0,2.0,2.0,11.0,2.0,2.0,1.0,13.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,40558.0,36900.0,5200.0,35358.0,N,Cash,N,3,2015,7,2009,3,2018,3,2018,A
3400,24000.0,24000.0,24000.0, 60 months,15.61,578.68,10+ years,MORTGAGE,83300.0,Source Verified,Fully Paid,n,debt_consolidation,PA,14.29,0.0,705.0,709.0,1.0,11.0,0.0,12929.0,73.9,27.0,f,0.0,0.0,30716.6800203748,30716.68,24000.0,6716.68,0.0,0.0,0.0,16828.36,654.0,650.0,0.0,1.0,Individual,0.0,0.0,145569.0,17500.0,6.0,13234.0,656.0,75.7,0.0,0.0,176.0,196.0,5.0,5.0,2.0,5.0,5.0,0.0,2.0,6.0,2.0,4.0,17.0,6.0,8.0,6.0,11.0,0.0,0.0,0.0,3.0,92.6,50.0,0.0,0.0,177824.0,31125.0,2700.0,38224.0,N,Cash,N,5,2014,0,1998,6,2016,0,2019,D
55221,20375.0,20375.0,20375.0, 36 months,16.99,726.33,3 years,RENT,60000.0,Verified,Fully Paid,n,debt_consolidation,MA,27.34,0.0,680.0,684.0,0.0,14.0,0.0,12723.0,66.3,27.0,w,0.0,0.0,24817.2334893142,24817.23,20375.0,4442.23,0.0,0.0,0.0,10055.42,739.0,735.0,0.0,1.0,Individual,0.0,0.0,34126.0,19200.0,6.0,2438.0,2069.0,85.7,0.0,0.0,163.0,118.0,10.0,10.0,0.0,10.0,10.0,7.0,4.0,5.0,4.0,6.0,15.0,7.0,12.0,5.0,14.0,0.0,0.0,0.0,2.0,66.7,100.0,0.0,0.0,56122.0,34126.0,14500.0,36922.0,N,Cash,N,11,2016,3,2003,7,2018,7,2018,D
29740,22000.0,22000.0,22000.0, 36 months,7.21,681.42,3 years,MORTGAGE,285000.0,Source Verified,Fully Paid,n,credit_card,FL,15.29,0.0,700.0,704.0,0.0,12.0,0.0,151970.0,61.5,42.0,w,0.0,0.0,22602.1735655378,22602.17,22000.0,602.17,0.0,0.0,0.0,20575.53,719.0,715.0,0.0,1.0,Individual,0.0,0.0,760797.0,185700.0,5.0,63400.0,13186.0,59.0,0.0,0.0,143.0,203.0,6.0,6.0,1.0,8.0,1.0,0.0,5.0,7.0,5.0,6.0,29.0,7.0,12.0,7.0,12.0,0.0,0.0,0.0,3.0,100.0,40.0,0.0,0.0,845707.0,372928.0,32200.0,243007.0,N,DirectPay,N,6,2018,7,2001,10,2018,11,2018,A
