ID,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,emp_length,home_ownership,annual_inc,verification_status,loan_status,pymnt_plan,purpose,addr_state,dti,delinq_2yrs,fico_range_low,fico_range_high,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,policy_code,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,hardship_flag,disbursement_method,debt_settlement_flag,issue_d_month,issue_d_year,earliest_cr_line_month,earliest_cr_line_year,last_pymnt_d_month,last_pymnt_d_year,last_credit_pull_d_month,last_credit_pull_d_year
3582,10000.0,10000.0,10000.0, 36 months,9.93,322.35,< 1 year,MORTGAGE,130000.0,Not Verified,Current,n,home_improvement,TX,6.43,0.0,685.0,689.0,1.0,8.0,0.0,13725.0,47.5,20.0,w,5645.67,5645.67,5468.92,5468.92,4354.33,1114.59,0.0,0.0,0.0,322.35,724.0,720.0,0.0,1.0,Individual,0.0,330.0,246193.0,28900.0,4.0,35170.0,9424.0,3.8,0.0,0.0,123.0,133.0,4.0,4.0,1.0,4.0,4.0,0.0,1.0,4.0,2.0,5.0,4.0,6.0,14.0,4.0,8.0,0.0,0.0,0.0,4.0,100.0,0.0,0.0,0.0,272205.0,31378.0,9800.0,19435.0,N,Cash,N,9,2017,8,2006,2,2019,2,2019
60498,20000.0,20000.0,20000.0, 60 months,13.67,461.96,10+ years,MORTGAGE,75500.0,Not Verified,Fully Paid,n,debt_consolidation,OK,24.57,0.0,730.0,734.0,0.0,12.0,1.0,9971.0,38.6,35.0,w,0.0,0.0,23984.4711152858,23984.47,20000.0,3984.47,0.0,0.0,0.0,15237.61,699.0,695.0,0.0,1.0,Individual,0.0,128.0,111368.0,25800.0,4.0,10124.0,8540.0,52.3,0.0,0.0,144.0,168.0,21.0,14.0,2.0,21.0,9.0,0.0,4.0,5.0,5.0,9.0,17.0,8.0,16.0,5.0,12.0,0.0,0.0,0.0,0.0,94.3,0.0,0.0,1.0,158285.0,50681.0,17900.0,62985.0,N,Cash,N,3,2016,3,2002,0,2018,2,2019
53227,15000.0,15000.0,15000.0, 36 months,11.8,496.79,< 1 year,RENT,38000.0,Source Verified,Current,n,other,FL,0.63,0.0,755.0,759.0,0.0,1.0,0.0,1763.0,14.6,5.0,w,13941.79,13941.79,1480.54,1480.54,1058.21,422.33,0.0,0.0,0.0,496.79,684.0,680.0,0.0,1.0,Individual,0.0,0.0,1763.0,12100.0,0.0,1763.0,10337.0,14.6,0.0,0.0,169.0,137.0,52.0,52.0,0.0,52.0,7.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,12100.0,1763.0,12100.0,0.0,N,Cash,N,11,2018,9,2004,2,2019,2,2019
21333,12500.0,12500.0,12500.0, 36 months,15.31,435.22,10+ years,MORTGAGE,65000.0,Source Verified,Fully Paid,n,debt_consolidation,MA,16.02,0.0,670.0,674.0,0.0,8.0,0.0,10556.0,88.0,17.0,w,0.0,0.0,15667.7665576942,15667.77,12500.0,3167.77,0.0,0.0,0.0,435.06,749.0,745.0,0.0,1.0,Individual,0.0,0.0,53764.0,12000.0,0.0,6721.0,1444.0,88.0,0.0,0.0,200.0,168.0,32.0,32.0,0.0,32.0,18.0,1.0,5.0,5.0,5.0,5.0,12.0,5.0,5.0,5.0,8.0,0.0,0.0,0.0,0.0,86.0,80.0,0.0,0.0,68819.0,53764.0,12000.0,56819.0,N,Cash,N,4,2013,10,1996,4,2016,2,2018
3885,19000.0,19000.0,19000.0, 60 months,27.88,590.21,6 years,MORTGAGE,38000.0,Verified,Fully Paid,n,medical,CO,31.62,0.0,685.0,689.0,1.0,9.0,0.0,12610.0,58.1,18.0,w,0.0,0.0,21704.0400210102,21704.04,19000.0,2704.04,0.0,0.0,0.0,18811.85,784.0,780.0,0.0,1.0,Individual,0.0,0.0,119464.0,21700.0,7.0,13274.0,1238.0,76.2,0.0,0.0,159.0,177.0,1.0,1.0,3.0,1.0,1.0,0.0,4.0,6.0,4.0,6.0,6.0,7.0,9.0,6.0,9.0,0.0,0.0,0.0,3.0,100.0,50.0,0.0,0.0,135027.0,46104.0,5200.0,39195.0,N,Cash,N,10,2015,1,2001,4,2016,2,2019
51521,10000.0,10000.0,10000.0, 36 months,7.35,310.38,2 years,MORTGAGE,75000.0,Source Verified,Fully Paid,n,major_purchase,PA,16.82,0.0,730.0,734.0,1.0,10.0,0.0,6896.0,19.2,16.0,w,0.0,0.0,10420.8396728334,10420.84,10000.0,420.84,0.0,0.0,0.0,8562.64,774.0,770.0,0.0,1.0,Individual,0.0,1197.0,223604.0,36000.0,5.0,22360.0,20855.0,22.2,0.0,0.0,149.0,137.0,4.0,4.0,2.0,4.0,1.0,0.0,3.0,4.0,4.0,4.0,6.0,7.0,8.0,4.0,10.0,0.0,0.0,0.0,4.0,93.8,25.0,0.0,0.0,300448.0,51849.0,26800.0,48848.0,N,Cash,N,10,2017,4,2005,5,2018,2,2019
84261,28000.0,28000.0,28000.0, 60 months,9.44,587.24,3 years,MORTGAGE,60000.0,Not Verified,Current,n,home_improvement,TX,14.82,0.0,770.0,774.0,0.0,6.0,0.0,37.0,0.1,17.0,w,20933.7,20933.7,10555.64,10555.64,7066.3,3489.34,0.0,0.0,0.0,587.24,659.0,655.0,0.0,1.0,Individual,0.0,0.0,227513.0,35800.0,7.0,37919.0,35763.0,0.1,0.0,0.0,151.0,50.0,30.0,6.0,4.0,30.0,1.0,0.0,2.0,2.0,3.0,4.0,8.0,3.0,5.0,2.0,6.0,0.0,0.0,0.0,4.0,100.0,0.0,0.0,0.0,275247.0,39021.0,35800.0,49447.0,N,Cash,N,8,2017,1,2005,2,2019,2,2019
10685,10000.0,10000.0,9975.0, 36 months,7.35,310.38,10+ years,OWN,75000.0,Not Verified,Fully Paid,n,house,VA,5.48,0.0,680.0,684.0,1.0,15.0,0.0,13275.0,19.9,33.0,f,0.0,0.0,10690.7441576115,10664.02,10000.0,690.74,0.0,0.0,0.0,6974.35,669.0,665.0,0.0,1.0,Individual,0.0,0.0,13275.0,66800.0,7.0,885.0,47123.0,21.9,0.0,0.0,129.0,165.0,2.0,2.0,0.0,2.0,4.0,0.0,8.0,9.0,13.0,23.0,3.0,15.0,30.0,9.0,15.0,0.0,0.0,0.0,3.0,84.8,7.7,0.0,0.0,66800.0,13275.0,60300.0,0.0,N,Cash,N,0,2018,2,2004,1,2019,1,2019
59948,5800.0,5800.0,5800.0, 36 months,13.99,198.21,10+ years,MORTGAGE,31000.0,Source Verified,Fully Paid,n,credit_card,NC,20.98,0.0,690.0,694.0,0.0,6.0,0.0,2742.0,70.3,14.0,f,0.0,0.0,7132.2171009786,7132.22,5800.0,1332.22,0.0,0.0,0.0,1.17,709.0,705.0,0.0,1.0,Individual,0.0,0.0,74380.0,3900.0,3.0,14876.0,1158.0,70.3,0.0,0.0,125.0,260.0,7.0,7.0,1.0,7.0,10.0,0.0,3.0,3.0,3.0,5.0,5.0,4.0,8.0,3.0,6.0,0.0,0.0,0.0,3.0,100.0,66.7,0.0,0.0,78156.0,15492.0,3900.0,14342.0,N,Cash,N,2,2015,5,1993,3,2018,2,2019
41032,15000.0,15000.0,15000.0, 60 months,6.11,290.76,6 years,MORTGAGE,68000.0,Not Verified,Current,n,debt_consolidation,NJ,6.32,0.0,705.0,709.0,0.0,5.0,0.0,15264.0,46.0,7.0,w,13917.1,13917.1,1453.81,1453.81,1082.9,370.91,0.0,0.0,0.0,290.76,764.0,760.0,0.0,1.0,Individual,0.0,0.0,299293.0,33200.0,2.0,59859.0,17433.0,44.7,0.0,0.0,57.0,78.0,15.0,7.0,1.0,15.0,10.0,0.0,3.0,4.0,3.0,3.0,1.0,4.0,5.0,4.0,5.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,319350.0,15264.0,31500.0,0.0,N,DirectPay,N,8,2018,2,2012,1,2019,2,2019
